"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SUICIDE","TOT","100000PER","A","1960",13.6,
"AUS","SUICIDE","TOT","100000PER","A","1961",15,
"AUS","SUICIDE","TOT","100000PER","A","1962",17.4,
"AUS","SUICIDE","TOT","100000PER","A","1963",19.8,
"AUS","SUICIDE","TOT","100000PER","A","1964",18.4,
"AUS","SUICIDE","TOT","100000PER","A","1965",18.5,
"AUS","SUICIDE","TOT","100000PER","A","1966",17.9,
"AUS","SUICIDE","TOT","100000PER","A","1967",19,
"AUS","SUICIDE","TOT","100000PER","A","1968",16,"B"
"AUS","SUICIDE","TOT","100000PER","A","1969",15.3,
"AUS","SUICIDE","TOT","100000PER","A","1970",15.4,
"AUS","SUICIDE","TOT","100000PER","A","1971",16.6,
"AUS","SUICIDE","TOT","100000PER","A","1972",15.3,
"AUS","SUICIDE","TOT","100000PER","A","1973",14.1,
"AUS","SUICIDE","TOT","100000PER","A","1974",14.4,
"AUS","SUICIDE","TOT","100000PER","A","1975",13.3,
"AUS","SUICIDE","TOT","100000PER","A","1976",12.9,
"AUS","SUICIDE","TOT","100000PER","A","1977",13.1,
"AUS","SUICIDE","TOT","100000PER","A","1978",12.9,
"AUS","SUICIDE","TOT","100000PER","A","1979",13.2,"B"
"AUS","SUICIDE","TOT","100000PER","A","1980",12.5,
"AUS","SUICIDE","TOT","100000PER","A","1981",12.8,
"AUS","SUICIDE","TOT","100000PER","A","1982",13.2,
"AUS","SUICIDE","TOT","100000PER","A","1983",12.4,
"AUS","SUICIDE","TOT","100000PER","A","1984",12.5,
"AUS","SUICIDE","TOT","100000PER","A","1985",12.8,
"AUS","SUICIDE","TOT","100000PER","A","1986",13.8,
"AUS","SUICIDE","TOT","100000PER","A","1987",14.5,
"AUS","SUICIDE","TOT","100000PER","A","1988",14,
"AUS","SUICIDE","TOT","100000PER","A","1989",13.1,
"AUS","SUICIDE","TOT","100000PER","A","1990",13.6,
"AUS","SUICIDE","TOT","100000PER","A","1991",13.9,
"AUS","SUICIDE","TOT","100000PER","A","1992",13.5,
"AUS","SUICIDE","TOT","100000PER","A","1993",12.1,
"AUS","SUICIDE","TOT","100000PER","A","1994",13.3,
"AUS","SUICIDE","TOT","100000PER","A","1995",12.3,
"AUS","SUICIDE","TOT","100000PER","A","1996",13.6,
"AUS","SUICIDE","TOT","100000PER","A","1997",14.6,
"AUS","SUICIDE","TOT","100000PER","A","1998",14.2,"B"
"AUS","SUICIDE","TOT","100000PER","A","1999",13.4,
"AUS","SUICIDE","TOT","100000PER","A","2000",12.7,
"AUS","SUICIDE","TOT","100000PER","A","2001",12.9,
"AUS","SUICIDE","TOT","100000PER","A","2002",12,
"AUS","SUICIDE","TOT","100000PER","A","2003",11,
"AUS","SUICIDE","TOT","100000PER","A","2004",10.7,
"AUS","SUICIDE","TOT","100000PER","A","2006",10.6,
"AUS","SUICIDE","TOT","100000PER","A","2007",10.7,
"AUS","SUICIDE","TOT","100000PER","A","2008",11.1,
"AUS","SUICIDE","TOT","100000PER","A","2009",10.8,
"AUS","SUICIDE","TOT","100000PER","A","2010",11,
"AUS","SUICIDE","TOT","100000PER","A","2011",10.9,
"AUS","SUICIDE","TOT","100000PER","A","2012",11.5,
"AUS","SUICIDE","TOT","100000PER","A","2013",11.5,
"AUS","SUICIDE","TOT","100000PER","A","2014",12.6,
"AUS","SUICIDE","TOT","100000PER","A","2015",13.2,
"AUS","SUICIDE","TOT","100000PER","A","2016",12.2,
"AUS","SUICIDE","TOT","100000PER","A","2017",13.6,
"AUS","SUICIDE","TOT","100000PER","A","2018",13,
"AUS","SUICIDE","TOT","100000PER","A","2019",13.5,
"AUS","SUICIDE","TOT","100000PER","A","2020",12.4,
"AUS","SUICIDE","TOT","100000PER","A","2021",12.4,
"AUT","SUICIDE","TOT","100000PER","A","1960",25,
"AUT","SUICIDE","TOT","100000PER","A","1961",23.9,
"AUT","SUICIDE","TOT","100000PER","A","1962",24.6,
"AUT","SUICIDE","TOT","100000PER","A","1963",23.7,
"AUT","SUICIDE","TOT","100000PER","A","1964",24.9,
"AUT","SUICIDE","TOT","100000PER","A","1965",25.2,
"AUT","SUICIDE","TOT","100000PER","A","1966",25.4,
"AUT","SUICIDE","TOT","100000PER","A","1967",24.8,
"AUT","SUICIDE","TOT","100000PER","A","1968",24.4,
"AUT","SUICIDE","TOT","100000PER","A","1969",25.1,"B"
"AUT","SUICIDE","TOT","100000PER","A","1970",27.3,
"AUT","SUICIDE","TOT","100000PER","A","1971",25.7,
"AUT","SUICIDE","TOT","100000PER","A","1972",26.4,
"AUT","SUICIDE","TOT","100000PER","A","1973",25,
"AUT","SUICIDE","TOT","100000PER","A","1974",26.6,
"AUT","SUICIDE","TOT","100000PER","A","1975",27,
"AUT","SUICIDE","TOT","100000PER","A","1976",25.1,
"AUT","SUICIDE","TOT","100000PER","A","1977",26.6,
"AUT","SUICIDE","TOT","100000PER","A","1978",26.9,
"AUT","SUICIDE","TOT","100000PER","A","1979",27.2,
"AUT","SUICIDE","TOT","100000PER","A","1980",27.7,"B"
"AUT","SUICIDE","TOT","100000PER","A","1981",28.7,
"AUT","SUICIDE","TOT","100000PER","A","1982",29.2,
"AUT","SUICIDE","TOT","100000PER","A","1983",28.7,
"AUT","SUICIDE","TOT","100000PER","A","1984",28.4,
"AUT","SUICIDE","TOT","100000PER","A","1985",28.9,
"AUT","SUICIDE","TOT","100000PER","A","1986",29.4,
"AUT","SUICIDE","TOT","100000PER","A","1987",28.5,
"AUT","SUICIDE","TOT","100000PER","A","1988",25.3,
"AUT","SUICIDE","TOT","100000PER","A","1989",25.9,
"AUT","SUICIDE","TOT","100000PER","A","1990",24.7,
"AUT","SUICIDE","TOT","100000PER","A","1991",23.6,
"AUT","SUICIDE","TOT","100000PER","A","1992",23.4,
"AUT","SUICIDE","TOT","100000PER","A","1993",22.4,
"AUT","SUICIDE","TOT","100000PER","A","1994",23.2,
"AUT","SUICIDE","TOT","100000PER","A","1995",23.1,
"AUT","SUICIDE","TOT","100000PER","A","1996",23.1,
"AUT","SUICIDE","TOT","100000PER","A","1997",20.4,
"AUT","SUICIDE","TOT","100000PER","A","1998",20.1,
"AUT","SUICIDE","TOT","100000PER","A","1999",19.9,
"AUT","SUICIDE","TOT","100000PER","A","2000",20.1,
"AUT","SUICIDE","TOT","100000PER","A","2001",18.6,
"AUT","SUICIDE","TOT","100000PER","A","2002",19.2,"B"
"AUT","SUICIDE","TOT","100000PER","A","2003",18,
"AUT","SUICIDE","TOT","100000PER","A","2004",17.3,
"AUT","SUICIDE","TOT","100000PER","A","2005",16.8,
"AUT","SUICIDE","TOT","100000PER","A","2006",15.2,
"AUT","SUICIDE","TOT","100000PER","A","2007",15.1,
"AUT","SUICIDE","TOT","100000PER","A","2008",14.6,
"AUT","SUICIDE","TOT","100000PER","A","2009",14.6,
"AUT","SUICIDE","TOT","100000PER","A","2010",14.4,
"AUT","SUICIDE","TOT","100000PER","A","2011",14.6,
"AUT","SUICIDE","TOT","100000PER","A","2012",14.2,
"AUT","SUICIDE","TOT","100000PER","A","2013",14.2,
"AUT","SUICIDE","TOT","100000PER","A","2014",14.3,
"AUT","SUICIDE","TOT","100000PER","A","2015",13.4,
"AUT","SUICIDE","TOT","100000PER","A","2016",12.7,
"AUT","SUICIDE","TOT","100000PER","A","2017",12.8,
"AUT","SUICIDE","TOT","100000PER","A","2018",12.5,
"AUT","SUICIDE","TOT","100000PER","A","2019",11.4,
"AUT","SUICIDE","TOT","100000PER","A","2020",10.8,
"AUT","SUICIDE","TOT","100000PER","A","2021",11,
"BEL","SUICIDE","TOT","100000PER","A","1960",17.1,
"BEL","SUICIDE","TOT","100000PER","A","1961",17,
"BEL","SUICIDE","TOT","100000PER","A","1962",15.8,
"BEL","SUICIDE","TOT","100000PER","A","1963",16.4,
"BEL","SUICIDE","TOT","100000PER","A","1964",16.2,
"BEL","SUICIDE","TOT","100000PER","A","1965",17.5,
"BEL","SUICIDE","TOT","100000PER","A","1966",16.8,
"BEL","SUICIDE","TOT","100000PER","A","1967",17.4,
"BEL","SUICIDE","TOT","100000PER","A","1968",18,"B"
"BEL","SUICIDE","TOT","100000PER","A","1969",17.6,
"BEL","SUICIDE","TOT","100000PER","A","1970",19.1,
"BEL","SUICIDE","TOT","100000PER","A","1971",17.8,
"BEL","SUICIDE","TOT","100000PER","A","1972",17.8,
"BEL","SUICIDE","TOT","100000PER","A","1973",17.2,
"BEL","SUICIDE","TOT","100000PER","A","1974",17.8,
"BEL","SUICIDE","TOT","100000PER","A","1975",18.3,
"BEL","SUICIDE","TOT","100000PER","A","1976",18.7,
"BEL","SUICIDE","TOT","100000PER","A","1977",21.1,
"BEL","SUICIDE","TOT","100000PER","A","1978",22.9,
"BEL","SUICIDE","TOT","100000PER","A","1979",23.6,"B"
"BEL","SUICIDE","TOT","100000PER","A","1980",24.3,
"BEL","SUICIDE","TOT","100000PER","A","1981",23.8,
"BEL","SUICIDE","TOT","100000PER","A","1982",23.6,
"BEL","SUICIDE","TOT","100000PER","A","1983",24.6,
"BEL","SUICIDE","TOT","100000PER","A","1984",25.4,
"BEL","SUICIDE","TOT","100000PER","A","1985",24.7,
"BEL","SUICIDE","TOT","100000PER","A","1986",23.5,
"BEL","SUICIDE","TOT","100000PER","A","1987",23.8,
"BEL","SUICIDE","TOT","100000PER","A","1988",21.2,
"BEL","SUICIDE","TOT","100000PER","A","1989",20.1,
"BEL","SUICIDE","TOT","100000PER","A","1990",19.8,
"BEL","SUICIDE","TOT","100000PER","A","1991",18.6,
"BEL","SUICIDE","TOT","100000PER","A","1992",19.2,
"BEL","SUICIDE","TOT","100000PER","A","1993",21.8,
"BEL","SUICIDE","TOT","100000PER","A","1994",21.5,
"BEL","SUICIDE","TOT","100000PER","A","1995",21.6,
"BEL","SUICIDE","TOT","100000PER","A","1996",20,
"BEL","SUICIDE","TOT","100000PER","A","1997",21.4,
"BEL","SUICIDE","TOT","100000PER","A","1998",20,"B"
"BEL","SUICIDE","TOT","100000PER","A","1999",18.2,
"BEL","SUICIDE","TOT","100000PER","A","2000",20.9,
"BEL","SUICIDE","TOT","100000PER","A","2001",21,
"BEL","SUICIDE","TOT","100000PER","A","2002",20,
"BEL","SUICIDE","TOT","100000PER","A","2003",20.1,
"BEL","SUICIDE","TOT","100000PER","A","2004",18.8,
"BEL","SUICIDE","TOT","100000PER","A","2005",19.1,
"BEL","SUICIDE","TOT","100000PER","A","2006",18.1,
"BEL","SUICIDE","TOT","100000PER","A","2007",17.1,
"BEL","SUICIDE","TOT","100000PER","A","2008",18.3,
"BEL","SUICIDE","TOT","100000PER","A","2009",18.3,
"BEL","SUICIDE","TOT","100000PER","A","2010",18.2,
